lambda,mean_counts
6.001052626688028,0.8666667
6.001862822453702,4.6666665
6.002673018219372,1.235294
6.003483213985045,3.875
6.004293409750718,3.142857
6.005103605516389,5.3999996
6.005913801282062,0.19999999
6.006723997047734,1.75
6.007534192813406,0.57142854
6.008344388579079,0.3749999
6.00915458434475,7.2500114
6.009964780110423,2.000003
6.010774975876096,1.2962964
6.011585171641768,3.888897
6.012395367407441,0.52941173
6.013205563173112,1.0
6.0140157589387835,0.42105255
6.014825954704457,1.8749902
6.015636150470129,0.9642859
6.0164463462358,4.0
6.017256542001474,0.16666669
6.018066737767145,0.54545456
6.018876933532819,1.6363677
6.01968712929849,2.1000001
6.020497325064161,0.14285703
6.021307520829835,0.55172384
6.022117716595506,1.4285778
6.022927912361179,4.5000052
6.023738108126852,3.8333406
6.024548303892523,0.5499998
6.025358499658196,0.39130566
6.026168695423868,6.0000076
6.026978891189539,1.4615378
6.027789086955212,2.8571448
6.028599282720884,0.0
6.029409478486557,0.24999945
6.03021967425223,0.27272692
6.031029870017901,0.81818175
6.031840065783574,3.9999795
6.032650261549246,1.0
6.033460457314917,0.35999998
6.03427065308059,1.9090924
6.0350808488462615,0.75000006
6.035891044611935,6.0
6.0367012403776075,0.8095225
6.037511436143278,1.6666547
6.038321631908952,1.7499965
6.039131827674623,0.9090909
6.039942023440296,0.10344811
6.040752219205968,1.4999981
6.041562414971639,2.4999876
6.042372610737313,1.4736887
6.043182806502985,0.7692325
6.043993002268657,1.5555556
6.04480319803433,0.07692416
6.045613393800001,0.58333325
6.0464235895656735,0.26087123
6.047233785331347,2.0000029
6.048043981097017,3.3333406
6.04885417686269,1.5000004
6.049664372628363,1.0624989
6.050474568394035,0.32000226
6.051284764159708,0.8666661
6.052094959925379,0.7058822
6.052905155691051,0.47058824
6.053715351456725,2.466676
6.054525547222395,1.6666665
6.055335742988068,0.49999905
6.05614593875374,1.7692372
6.056956134519413,1.5454408
6.0577663302850855,0.99999815
6.058576526050756,0.46153802
6.059386721816429,0.21428657
6.060196917582102,15.99978
6.061007113347774,0.21874946
6.061817309113446,21.000092
6.062627504879118,0.8571428
6.063437700644791,0.0
6.064247896410463,0.6874998
6.065058092176135,0.66666514
6.065868287941806,0.9999988
6.06667848370748,3.0000134
6.067488679473152,1.8000011
6.068298875238824,1.2391342
